Date,Close
24-May-05,6565.37
25-May-05,6597.6
26-May-05,6670.78
27-May-05,6707.72
30-May-05,6663.55
31-May-05,6715.11
1-Jun-05,6729.9
2-Jun-05,6655.56
3-Jun-05,6748.85
4-Jun-05,6753
6-Jun-05,6758.19
7-Jun-05,6781.25
8-Jun-05,6858.24
9-Jun-05,6832.53
10-Jun-05,6781.99
13-Jun-05,6832.68
14-Jun-05,6860.18
15-Jun-05,6906.98
16-Jun-05,6900.41
17-Jun-05,6906.52
20-Jun-05,6984.55
21-Jun-05,7076.52
22-Jun-05,7145.34
23-Jun-05,7119.76
24-Jun-05,7148.62
27-Jun-05,7151.08
28-Jun-05,7049
29-Jun-05,7119.88
30-Jun-05,7193.85
1-Jul-05,7210.77
4-Jul-05,7277.31
5-Jul-05,7220.25
6-Jul-05,7287.6
7-Jul-05,7145.13
8-Jul-05,7212.08
11-Jul-05,7306.74
12-Jul-05,7303.95
13-Jul-05,7247.91
14-Jul-05,7187.7
15-Jul-05,7271.54
18-Jul-05,7347.1
19-Jul-05,7346.63
20-Jul-05,7342.89
21-Jul-05,7304.32
22-Jul-05,7423.25
25-Jul-05,7505.6
26-Jul-05,7552.77
27-Jul-05,7605.03
29-Jul-05,7635.42
1-Aug-05,7669.45
2-Aug-05,7756.04
3-Aug-05,7756.47
4-Aug-05,7797.08
5-Aug-05,7754
8-Aug-05,7606.17
9-Aug-05,7595.57
10-Aug-05,7729.82
11-Aug-05,7816.51
12-Aug-05,7767.49
16-Aug-05,7768.24
17-Aug-05,7859.53
18-Aug-05,7811.33
19-Aug-05,7780.76
22-Aug-05,7750.6
23-Aug-05,7615.99
24-Aug-05,7612
25-Aug-05,7660.42
26-Aug-05,7680.22
29-Aug-05,7634.43
30-Aug-05,7745
31-Aug-05,7805.43
1-Sep-05,7876.15
2-Sep-05,7899.77
5-Sep-05,7925.24
6-Sep-05,7946.78
8-Sep-05,8052.56
9-Sep-05,8060.01
12-Sep-05,8138.42
13-Sep-05,8193.96
14-Sep-05,8189.48
15-Sep-05,8283.76
16-Sep-05,8380.96
19-Sep-05,8444.84
20-Sep-05,8500.28
21-Sep-05,8487.14
22-Sep-05,8221.64
23-Sep-05,8222.59
26-Sep-05,8478.91
27-Sep-05,8525.52
28-Sep-05,8606.03
29-Sep-05,8650.17
30-Sep-05,8634.48
3-Oct-05,8697.65
4-Oct-05,8799.96
5-Oct-05,8724.47
6-Oct-05,8528.7
7-Oct-05,8491.56
10-Oct-05,8483.86
11-Oct-05,8540.56
13-Oct-05,8376.9
14-Oct-05,8201.73
17-Oct-05,8202.62
18-Oct-05,8122.25
19-Oct-05,7971.06
20-Oct-05,7935.12
21-Oct-05,8068.95
24-Oct-05,7920.8
25-Oct-05,7991.74
26-Oct-05,7974.69
27-Oct-05,7798.49
28-Oct-05,7685.64
31-Oct-05,7892.32
1-Nov-05,7944.1
2-Nov-05,8072.75
7-Nov-05,8206.83
8-Nov-05,8317.8
9-Nov-05,8308.78
10-Nov-05,8308.93
11-Nov-05,8471.04
14-Nov-05,8494.29
16-Nov-05,8595.92
17-Nov-05,8649.52
18-Nov-05,8686.65
21-Nov-05,8610.74
22-Nov-05,8534.97
23-Nov-05,8638.34
24-Nov-05,8744.04
25-Nov-05,8853.21
26-Nov-05,8889.03
28-Nov-05,8994.94
29-Nov-05,8931.16
30-Nov-05,8788.81
1-Dec-05,8944.78
2-Dec-05,8961.61
5-Dec-05,8823.31
6-Dec-05,8815.53
7-Dec-05,8895.81
8-Dec-05,8906.31
9-Dec-05,9067.28
12-Dec-05,9133.67
13-Dec-05,9263.9
14-Dec-05,9241.76
15-Dec-05,9170.4
16-Dec-05,9284.46
19-Dec-05,9394.27
20-Dec-05,9346.24
21-Dec-05,9339.17
22-Dec-05,9372.3
23-Dec-05,9256.91
26-Dec-05,9085.89
27-Dec-05,9283.16
28-Dec-05,9257.51
29-Dec-05,9323.25
30-Dec-05,9397.93
2-Jan-06,9390.14
3-Jan-06,9539.37
4-Jan-06,9648.08
5-Jan-06,9617.74
6-Jan-06,9640.29
9-Jan-06,9583.45
10-Jan-06,9445.3
12-Jan-06,9380.88
13-Jan-06,9374.19
16-Jan-06,9311.19
17-Jan-06,9314.13
18-Jan-06,9237.53
19-Jan-06,9449.84
20-Jan-06,9520.96
23-Jan-06,9464.9
24-Jan-06,9549.92
25-Jan-06,9685.74
27-Jan-06,9870.79
30-Jan-06,9849.03
31-Jan-06,9919.89
1-Feb-06,9859.26
2-Feb-06,9843.87
3-Feb-06,9742.58
6-Feb-06,9980.42
7-Feb-06,10082.28
8-Feb-06,10044.82
10-Feb-06,10110.97
13-Feb-06,10173.25
14-Feb-06,10086.63
15-Feb-06,10113.18
16-Feb-06,10124.3
17-Feb-06,9981.11
20-Feb-06,10079.3
21-Feb-06,10168.11
22-Feb-06,10224.32
23-Feb-06,10244.05
24-Feb-06,10200.76
27-Feb-06,10282.09
28-Feb-06,10370.24
1-Mar-06,10565.47
2-Mar-06,10626.78
3-Mar-06,10595.43
6-Mar-06,10735.36
7-Mar-06,10725.67
8-Mar-06,10508.85
9-Mar-06,10573.54
10-Mar-06,10765.16
13-Mar-06,10803.71
14-Mar-06,10801.72
16-Mar-06,10878.74
17-Mar-06,10860.04
20-Mar-06,10941.11
21-Mar-06,10905.2
22-Mar-06,10841.35
23-Mar-06,10840.59
24-Mar-06,10950.3
27-Mar-06,11079.02
28-Mar-06,11086.03
29-Mar-06,11183.48
30-Mar-06,11307.04
31-Mar-06,11279.96
3-Apr-06,11564.36
4-Apr-06,11638.01
5-Apr-06,11746.9
7-Apr-06,11589.44
10-Apr-06,11662.55
12-Apr-06,11355.73
13-Apr-06,11237.23
17-Apr-06,11539.68
18-Apr-06,11821.57
19-Apr-06,11895.98
20-Apr-06,12039.55
21-Apr-06,12030.3
24-Apr-06,11915.24
25-Apr-06,11646.78
26-Apr-06,11938.53
27-Apr-06,11835.02
28-Apr-06,11851.93
29-Apr-06,12042.56
2-May-06,12218.78
3-May-06,12310.72
4-May-06,12347.63
5-May-06,12359.7
8-May-06,12462.47
9-May-06,12513.86
10-May-06,12612.38
11-May-06,12435.41
12-May-06,12285.11
15-May-06,11822.2
16-May-06,11873.73
17-May-06,12217.81
18-May-06,11391.43
19-May-06,10938.61
22-May-06,10481.77
23-May-06,10822.78
24-May-06,10573.15
25-May-06,10666.32
26-May-06,10809.35
29-May-06,10853.14
30-May-06,10786.63
31-May-06,10398.61
1-Jun-06,10071.42
2-Jun-06,10451.33
5-Jun-06,10213.48
6-Jun-06,9957.32
7-Jun-06,9756.76
8-Jun-06,9295.81
9-Jun-06,9810.46
12-Jun-06,9476.15
13-Jun-06,9062.65
14-Jun-06,8929.44
15-Jun-06,9545.06
16-Jun-06,9884.51
19-Jun-06,9997.84
20-Jun-06,9822.52
21-Jun-06,10040.14
22-Jun-06,10275.88
23-Jun-06,10401.3
25-Jun-06,10412.93
26-Jun-06,10042.06
27-Jun-06,10151.01
28-Jun-06,10129.7
29-Jun-06,10162.16
30-Jun-06,10609.25
3-Jul-06,10695.26
4-Jul-06,10662.22
5-Jul-06,10919.64
6-Jul-06,10767.97
7-Jul-06,10509.53
10-Jul-06,10684.3
11-Jul-06,10614.35
12-Jul-06,10930.09
13-Jul-06,10858.5
14-Jul-06,10678.22
17-Jul-06,10293.22
18-Jul-06,10226.78
19-Jul-06,10007.34
20-Jul-06,10352.94
21-Jul-06,10085.91
24-Jul-06,10215.37
25-Jul-06,10415.61
26-Jul-06,10617.27
27-Jul-06,10741.59
28-Jul-06,10680.23
31-Jul-06,10743.88
1-Aug-06,10751.66
2-Aug-06,10876.19
3-Aug-06,10923.16
4-Aug-06,10866.51
7-Aug-06,10812.64
8-Aug-06,11014.97
9-Aug-06,11145.18
10-Aug-06,11149.17
